coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed
1Pd1,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd1,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd1_control_T1,1/12/2005,0,FALSE,TRUE
1Pd10,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd10,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd10_control_T1,1/12/2005,0,FALSE,TRUE
1Pd2,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,1,0,0,NA,1Pd2,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd2_control_T1,1/12/2005,0,FALSE,TRUE
1Pd3,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,1,0,0,NA,1Pd3,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd3_control_T1,1/12/2005,0,FALSE,TRUE
1Pd4,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,1,0,0,NA,1Pd4,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd4_control_T1,1/12/2005,0,FALSE,TRUE
1Pd5,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,4,2,0,NA,1Pd5,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd5_control_T1,1/12/2005,0,FALSE,TRUE
1Pd6,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,2,0,0,NA,1Pd6,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd6_control_T1,1/12/2005,0,FALSE,TRUE
1Pd7,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd7,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd7_control_T1,1/12/2005,0,FALSE,TRUE
1Pd8,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd8,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd8_control_T1,1/12/2005,0,FALSE,TRUE
1Pd9,1/12/2005,control_T1,control,1,Pocillopora_damicornis,0,0,0,0,NA,1Pd9,Pocillopora_damicornis,1/12/2005,Pocillopora,T1,control,1Pd9_control_T1,1/12/2005,0,FALSE,TRUE
1Sp1,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,2,0,0,NA,1Sp1,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp1_control_T1,1/12/2005,0,FALSE,TRUE
1Sp10,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,2,1,0,NA,1Sp10,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp10_control_T1,1/12/2005,0,FALSE,TRUE
1Sp2,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp2,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp2_control_T1,1/12/2005,0,FALSE,TRUE
1Sp3,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp3,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp3_control_T1,1/12/2005,0,FALSE,TRUE
1Sp4,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp4,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp4_control_T1,1/12/2005,0,FALSE,TRUE
1Sp5,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp5,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp5_control_T1,1/12/2005,0,FALSE,TRUE
1Sp6,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,0,0,0,NA,1Sp6,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp6_control_T1,1/12/2005,0,FALSE,TRUE
1Sp7,1/12/2005,control_T1,control,1,Stylophora_pistillata,0,1,0,0,NA,1Sp7,Stylophora_pistillata,1/12/2005,Stylophora,T1,control,1Sp7_control_T1,1/12/2005,0,FALSE,TRUE
