species,species_md,coral_uid,taxon,metric,value,host_species,host_species_md
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,alpheus,Occurrence,0.625,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,alpheus,Mean abundance,1.0833333333333335,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,alpheus,Intensity,1.7333333333333334,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,trapezia,Occurrence,0.9166666666666666,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,trapezia,Mean abundance,2.791666666666667,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,trapezia,Intensity,3.0454545454545454,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,alpheus,Occurrence,0.44,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,alpheus,Mean abundance,0.7999999999999999,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,alpheus,Intensity,1.8181818181818181,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,trapezia,Occurrence,1,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,trapezia,Mean abundance,2.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,trapezia,Intensity,2.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,alpheus,Occurrence,0.12,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,alpheus,Mean abundance,0.16,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,alpheus,Intensity,1.3333333333333333,Pocillopora favosa,*Pocillopora favosa*
Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,trapezia,Occurrence,0.64,Pocillopora favosa,*Pocillopora favosa*
