coral_uid,host_species,host_species_md,taxon,taxon_label,n_observations,n_present,total_count,occurrence,mean_abundance,intensity
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,24,15,26,0.625,1.0833333333333333,1.7333333333333334
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,24,22,67,0.9166666666666666,2.7916666666666665,3.0454545454545454
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,11,20,0.44,0.8,1.8181818181818181
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,25,54,1,2.16,2.16
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,4,0.12,0.16,1.3333333333333333
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,16,29,0.64,1.16,1.8125
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,6,0.12,0.24,2
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,22,40,0.88,1.6,1.8181818181818181
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,23,10,16,0.43478260869565216,0.6956521739130435,1.6
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,23,15,28,0.6521739130434783,1.2173913043478262,1.8666666666666667
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,19,14,32,0.7368421052631579,1.6842105263157894,2.2857142857142856
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,17,48,0.8947368421052632,2.526315789473684,2.823529411764706
12Pd7_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,10,1,1,0.1,0.1,1
12Pd7_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,10,10,17,1,1.7,1.7
12Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,19,0,0,0,0,NA
12Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,19,5,5,0.2631578947368421,0.2631578947368421,1
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,12,0,0,0,0,NA
12Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,12,5,6,0.4166666666666667,0.5,1.2
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,0,0,0,0,NA
12Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,17,33,0.7391304347826086,1.434782608695652,1.9411764705882353
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,13,0,0,0,0,NA
12Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,13,8,16,0.6153846153846154,1.2307692307692308,2
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,7,0,0,0,0,NA
12Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,7,6,11,0.8571428571428571,1.5714285714285714,1.8333333333333333
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,21,0,0,0,0,NA
12Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,21,18,37,0.8571428571428571,1.7619047619047619,2.0555555555555554
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,0,0,NA
12Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,13,26,0.8125,1.625,2
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,0,0,NA
13Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,0,0,NA
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,2,0,0,0,0,NA
13Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,2,0,0,0,0,NA
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,16,0,0,0,0,NA
13Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,16,7,10,0.4375,0.625,1.4285714285714286
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,17,0,0,0,0,NA
13Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,17,10,19,0.5882352941176471,1.1176470588235294,1.9
14Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,6,12,0.24,0.48,2
14Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,19,37,0.76,1.48,1.9473684210526316
14Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,7,14,0.28,0.56,2
14Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,16,30,0.64,1.2,1.875
14Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,9,0,0,0,0,NA
14Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,9,3,6,0.3333333333333333,0.6666666666666666,2
14Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,19,1,2,0.05263157894736842,0.10526315789473684,2
14Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,16,31,0.8421052631578947,1.631578947368421,1.9375
14Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,23,4,8,0.17391304347826086,0.34782608695652173,2
14Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,23,19,34,0.8260869565217391,1.4782608695652173,1.7894736842105263
14Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,19,0,0,0,0,NA
14Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,19,8,12,0.42105263157894735,0.631578947368421,1.5
14Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,25,0,0,0,0,NA
14Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,25,21,38,0.84,1.52,1.8095238095238095
14Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,17,0,0,0,0,NA
14Sp3_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,17,13,26,0.7647058823529411,1.5294117647058822,2
14Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,19,3,12,0.15789473684210525,0.631578947368421,4
14Sp4_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,19,10,32,0.5263157894736842,1.6842105263157894,3.2
14Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,25,0,0,0,0,NA
14Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,25,15,30,0.6,1.2,2
