host_species,host_species_md,genus,coral_uid,month_bin,taxon,count,present,taxon_label
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,0,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,0,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,1,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,1,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,2,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,2,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,3,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,3,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,4,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,4,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,5,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,5,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,6,trapezia,3,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,6,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,7,trapezia,4,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,7,alpheus,2,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,8,trapezia,3,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,8,alpheus,2,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,9,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,9,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,11,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,11,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,12,trapezia,6,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,12,alpheus,4,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,14,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,14,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd1_control_unified,16,trapezia,2,1,*Trapezia*
