genus,host_species,host_species_md,coral_uid,mean_trap,mean_alph,n_observations
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd1_control_unified,2.791666666666667,1.0833333333333335,24
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd2_control_unified,2.16,0.7999999999999999,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd3_control_unified,1.16,0.16,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd4_control_unified,1.6,0.23999999999999988,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd5_control_unified,1.2173913043478262,0.6956521739130436,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd6_control_unified,2.526315789473684,1.6842105263157894,19
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,12Pd7_control_unified,1.7,0.10000000000000002,10
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,13Pd1_control_unified,0,0,2
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,13Pd2_control_unified,0,0,2
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,14Pd1_control_unified,1.48,0.47999999999999976,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,14Pd2_control_unified,1.2,0.5599999999999997,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,14Pd3_control_unified,0.6666666666666667,0,9
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,14Pd4_control_unified,1.631578947368421,0.10526315789473686,19
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,14Pd5_control_unified,1.4782608695652175,0.34782608695652184,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd1_control_unified,1.6400000000000001,0.5200000000000001,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd10_control_unified,1.2,0.07999999999999997,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd2_control_unified,1.1666666666666665,0.05555555555555554,18
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd3_control_unified,0.9130434782608695,0,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd4_control_unified,0.16,0,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd5_control_unified,2.52,1.84,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd6_control_unified,2.260869565217391,1.2173913043478262,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd7_control_unified,1.0454545454545456,0.04545454545454547,22
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd8_control_unified,1.1304347826086958,0.17391304347826092,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,1Pd9_control_unified,1.6956521739130435,0.5652173913043479,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,5Pd1_control_unified,0.411764705882353,0,17
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,5Pd2_control_unified,1.3529411764705883,0.29411764705882354,17
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,6Pd1_control_unified,2.24,1,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,6Pd2_control_unified,3.4736842105263155,2.2105263157894735,19
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,6Pd3_control_unified,3.5652173913043477,2.391304347826087,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,6Pd4_control_unified,0.6956521739130435,0.391304347826087,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,7Pd1_control_unified,3.130434782608696,1.8695652173913042,23
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,8Pd1_control_unified,1.76,0.16,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,8Pd2_control_unified,1.24,0.039999999999999994,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,8Pd3_control_unified,0.7200000000000001,0.03999999999999999,25
Pocillopora,Pocillopora favosa,*Pocillopora favosa*,8Pd4_control_unified,0.30434782608695654,0,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp1_control_unified,0.26315789473684215,0,19
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp2_control_unified,0.5,0,12
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp3_control_unified,1.434782608695652,0,23
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp4_control_unified,1.2307692307692308,0,13
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp5_control_unified,1.5714285714285714,0,7
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp6_control_unified,1.7619047619047619,0,21
Stylophora,Stylophora pistillata,*Stylophora pistillata*,12Sp7_control_unified,1.625,0,16
