coral_id,date,transplantation,type,knoll,species,survival_status,trapezia,alpheus,spirobranchus_giganteus,collector,coral_id_raw,species_raw,date_raw,genus,cohort,treatment,coral_uid,monitoring_start,months_of_monitoring,pre_monitoring_date_flag,inverts_observed,collector_clean,bio_colony_id,source_coral_uid,source_cohort,source_monitoring_start,source_transplantation,survey_occasion,month_bin,genus_lab
12Pd1,2005-12-01,control_unified,control,12,Pocillopora_damicornis,0,4,0,0,NA,12Pd1,Pocillopora_damicornis,1/12/2005,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,0,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,1,0,*Pocillopora favosa*
12Pd1,2006-01-01,control_unified,control,12,Pocillopora_damicornis,0,4,1,0,NA,12Pd1,Pocillopora_damicornis,1/1/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,1,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,2,1,*Pocillopora favosa*
12Pd1,2006-02-01,control_unified,control,12,Pocillopora_damicornis,0,4,0,0,NA,12Pd1,Pocillopora_damicornis,1/2/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,2,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,3,2,*Pocillopora favosa*
12Pd1,2006-03-01,control_unified,control,12,Pocillopora_damicornis,0,4,1,0,NA,12Pd1,Pocillopora_damicornis,1/3/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,3,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,4,3,*Pocillopora favosa*
12Pd1,2006-04-01,control_unified,control,12,Pocillopora_damicornis,0,4,1,0,NA,12Pd1,Pocillopora_damicornis,1/4/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,4,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,5,4,*Pocillopora favosa*
12Pd1,2006-05-01,control_unified,control,12,Pocillopora_damicornis,0,2,1,0,NA,12Pd1,Pocillopora_damicornis,1/5/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,5,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,6,5,*Pocillopora favosa*
12Pd1,2006-06-01,control_unified,control,12,Pocillopora_damicornis,0,3,0,0,NA,12Pd1,Pocillopora_damicornis,1/6/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,6,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,7,6,*Pocillopora favosa*
12Pd1,2006-07-01,control_unified,control,12,Pocillopora_damicornis,0,4,2,0,NA,12Pd1,Pocillopora_damicornis,1/7/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,7,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,8,7,*Pocillopora favosa*
12Pd1,2006-08-01,control_unified,control,12,Pocillopora_damicornis,0,3,2,0,NA,12Pd1,Pocillopora_damicornis,1/8/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,8,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,9,8,*Pocillopora favosa*
12Pd1,2006-09-01,control_unified,control,12,Pocillopora_damicornis,0,2,1,0,NA,12Pd1,Pocillopora_damicornis,1/9/2006,Pocillopora,Unified,control,12Pd1_control_unified,2005-12-01,9,FALSE,TRUE,NA,12Pd1,12Pd1_control_T1,T1,2005-12-01,control_T1,10,9,*Pocillopora favosa*
