metric,taxon,taxon_label,host_species,host_species_md,n_colonies,mean,median,sd,iqr,min,max
Occurrence,trapezia,*Trapezia*,Pocillopora favosa,*Pocillopora favosa*,66,0.6554243414537533,0.7165775401069518,0.279127641123687,0.43443627450980393,0,1
Occurrence,trapezia,*Trapezia*,Stylophora pistillata,*Stylophora pistillata*,69,0.678910890899382,0.75,0.2618320284406809,0.326797385620915,0,1
Occurrence,alpheus,*Alpheus*,Pocillopora favosa,*Pocillopora favosa*,66,0.2613458560651074,0.17647058823529413,0.2757451137071759,0.4861111111111111,0,0.9090909090909091
Occurrence,alpheus,*Alpheus*,Stylophora pistillata,*Stylophora pistillata*,69,0.010838779956427017,0,0.033176736303505296,0,0,0.17647058823529413
Mean abundance,trapezia,*Trapezia*,Pocillopora favosa,*Pocillopora favosa*,66,1.5229514395289796,1.4625668449197862,0.884849881778265,1.0441176470588236,0,4.117647058823529
Mean abundance,trapezia,*Trapezia*,Stylophora pistillata,*Stylophora pistillata*,69,1.2574656528940416,1.25,0.5775458915562207,0.6470588235294117,0,2.4285714285714284
Mean abundance,alpheus,*Alpheus*,Pocillopora favosa,*Pocillopora favosa*,66,0.5794295450044114,0.2540106951871658,0.7110138986507399,1.0909090909090908,0,2.764705882352941
Mean abundance,alpheus,*Alpheus*,Stylophora pistillata,*Stylophora pistillata*,69,0.024490859145590602,0,0.09735548916087959,0,0,0.7058823529411765
Intensity,trapezia,*Trapezia*,Pocillopora favosa,*Pocillopora favosa*,63,2.266296670183225,2,0.9771604826127113,0.4187500000000002,1,5.636363636363637
Intensity,trapezia,*Trapezia*,Stylophora pistillata,*Stylophora pistillata*,66,1.8110543299045974,1.8452380952380953,0.37774864156539856,0.4243697478991597,1,3.2
Intensity,alpheus,*Alpheus*,Pocillopora favosa,*Pocillopora favosa*,46,1.9590938047459787,2,0.7506982295283392,0.5,1,4
Intensity,alpheus,*Alpheus*,Stylophora pistillata,*Stylophora pistillata*,8,2,1.5,1.3093073414159542,1.5,1,4
