coral_uid,host_species,host_species_md,cohort_label,taxon,taxon_label,n_months,n_present,total_count,occurrence,mean_abundance,intensity
12Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,12,20,0.7058823529411765,1.1764705882352942,1.6666666666666667
12Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,17,53,1,3.1176470588235294,3.1176470588235294
12Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,10,5,10,0.5,1,2
12Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,10,8,21,0.8,2.1,2.625
12Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,3,4,0.17647058823529413,0.23529411764705882,1.3333333333333333
12Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,17,36,1,2.1176470588235294,2.1176470588235294
12Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,10,19,0.9090909090909091,1.7272727272727273,1.9
12Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,11,24,1,2.1818181818181817,2.1818181818181817
12Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,2,2,0.11764705882352941,0.11764705882352941,1
12Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,10,17,0.5882352941176471,1,1.7
12Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,2,3,0.18181818181818182,0.2727272727272727,1.5
12Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,9,18,0.8181818181818182,1.6363636363636365,2
12Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
12Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,14,24,0.8235294117647058,1.411764705882353,1.7142857142857142
12Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,3,6,0.2727272727272727,0.5454545454545454,2
12Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,11,22,1,2,2
12Pd5_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,6,8,0.35294117647058826,0.47058823529411764,1.3333333333333333
12Pd5_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,9,16,0.5294117647058824,0.9411764705882353,1.7777777777777777
12Pd5_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,6,11,0.6666666666666666,1.2222222222222223,1.8333333333333333
12Pd5_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,8,16,0.8888888888888888,1.7777777777777777,2
12Pd6_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,13,30,0.7647058823529411,1.7647058823529411,2.3076923076923075
12Pd6_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,16,46,0.9411764705882353,2.7058823529411766,2.875
12Pd6_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,5,4,8,0.8,1.6,2
12Pd6_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,5,4,10,0.8,2,2.5
12Pd7_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,10,1,1,0.1,0.1,1
12Pd7_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,10,10,17,1,1.7,1.7
12Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
12Sp1_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,3,3,0.17647058823529413,0.17647058823529413,1
12Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,5,0,0,0,0,NA
12Sp1_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,5,2,2,0.4,0.4,1
12Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,12,0,0,0,0,NA
12Sp2_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,12,5,6,0.4166666666666667,0.5,1.2
12Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
12Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,30,0.8823529411764706,1.7647058823529411,2
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,5,9,0.5555555555555556,1,1.8
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,13,0,0,0,0,NA
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,13,8,16,0.6153846153846154,1.2307692307692308,2
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,7,0,0,0,0,NA
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,7,6,11,0.8571428571428571,1.5714285714285714,1.8333333333333333
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
