host_cohort,species,cohort_label,genus,cohort,month_bin,taxon,taxon_label,n_colony_months,n_colonies,mean_abundance,sd_abundance,se_abundance,incidence,se_incidence,n_occupied,mean_intensity,sd_intensity,se_intensity
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,0,alpheus,*Alpheus*,35,35,0.22857142857142854,0.8075276096432461,0.13649707902014763,0.08571428571428572,0.04731878121204715,3,2.6666666666666665,1.1547005383792515,0.6666666666666666
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,0,trapezia,*Trapezia*,35,35,1.142857142857143,1.6652655174768616,0.28148124746965086,0.4571428571428572,0.0842043882986294,16,2.5,1.632993161855452,0.408248290463863
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,1,alpheus,*Alpheus*,35,35,0.22857142857142854,0.7702449681266149,0.13019516239908785,0.11428571428571428,0.0537785113208183,4,2,1.4142135623730951,0.7071067811865476
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,1,trapezia,*Trapezia*,35,35,1,1.7822655773580136,0.30125786715206027,0.3428571428571428,0.080232897144853,12,2.9166666666666665,1.928651593652148,0.5567537583840342
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,2,alpheus,*Alpheus*,33,33,0,0,0,0,0,0,NA,NA,NA
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,2,trapezia,*Trapezia*,33,33,1.4545454545454544,1.5225576567676569,0.26504326794751365,0.5757575757575758,0.08603395906609154,19,2.526315789473684,1.1239029738980326,0.2578410255561239
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,3,alpheus,*Alpheus*,33,33,0.4545454545454546,1.2013250260365924,0.2091238445733677,0.15151515151515152,0.062415594005386335,5,3,1.4142135623730951,0.6324555320336759
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,3,trapezia,*Trapezia*,33,33,1.3030303030303032,1.9118846801789668,0.3328164035831636,0.45454545454545453,0.08667841720414475,15,2.8666666666666667,1.8847761013926696,0.48664709680157003
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,4,alpheus,*Alpheus*,33,33,0.7272727272727271,1.3526069105787735,0.23545864042303108,0.3030303030303031,0.08000055652754638,10,2.4,1.4298407059684812,0.45215533220835125
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,4,trapezia,*Trapezia*,33,33,1.7575757575757576,1.8879602589551352,0.3286516964164222,0.6969696969696969,0.08000055652754638,23,2.5217391304347823,1.7804382815218003,0.37124704503630335
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,5,alpheus,*Alpheus*,33,33,0.6363636363636364,1.2200968664972314,0.21239160255873005,0.30303030303030304,0.08000055652754638,10,2.1,1.370320319406298,0.4333333333333334
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,5,trapezia,*Trapezia*,33,33,1.6060606060606062,1.6944651431092115,0.2949685202110876,0.7272727272727273,0.07752753322022198,24,2.208333333333333,1.6145847942957392,0.32957574104009174
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,6,alpheus,*Alpheus*,33,33,0.7575757575757573,1.4583874448835397,0.2538726678805461,0.27272727272727276,0.07752753322022199,9,2.7777777777777777,1.4813657362192647,0.4937885787397549
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,6,trapezia,*Trapezia*,33,33,1.8484848484848484,1.9862214774731841,0.34575677900739477,0.696969696969697,0.08000055652754638,23,2.652173913043478,1.8734677533720456,0.3906450308491964
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,7,alpheus,*Alpheus*,33,33,0.6363636363636364,1.3651506743346546,0.2376422294145169,0.2121212121212121,0.07116472642790657,7,3,1.2909944487358056,0.48795003647426655
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,7,trapezia,*Trapezia*,33,33,1.8181818181818181,1.9438130287939455,0.33837441566859544,0.6666666666666666,0.08206099398622183,22,2.727272727272727,1.7776875878998424,0.3790042671967236
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,8,alpheus,*Alpheus*,33,33,0.8181818181818181,1.4885929903466193,0.25913077843162224,0.2727272727272727,0.07752753322022198,9,3,1.224744871391589,0.40824829046386296
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,8,trapezia,*Trapezia*,33,33,1.9696969696969697,1.9118846801789675,0.3328164035831637,0.7878787878787878,0.07116472642790657,26,2.5,1.816590212458495,0.35626265159721265
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,9,alpheus,*Alpheus*,32,32,0.375,0.8327955253822958,0.14721884083490872,0.25,0.07654655446197431,8,1.5,1.0690449676496976,0.3779644730092272
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,9,trapezia,*Trapezia*,32,32,1.375,1.237844119635477,0.21882199276153444,0.6875,0.08193819126329309,22,2,0.9759000729485332,0.20806259464411975
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,11,alpheus,*Alpheus*,31,31,0.7419354838709676,1.4825145740820196,0.2662674778370967,0.25806451612903225,0.07858983387512676,8,2.875,1.5526475085202969,0.5489437910335498
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,11,trapezia,*Trapezia*,31,31,1.9032258064516132,2.022454592974874,0.36324356800669033,0.6774193548387097,0.08395897088010118,21,2.8095238095238093,1.8606194564995715,0.40602045232937534
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,12,alpheus,*Alpheus*,31,31,1.096774193548387,1.776791841300446,0.31912123529547615,0.2903225806451613,0.08152485862976439,9,3.7777777777777777,0.6666666666666667,0.22222222222222224
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,12,trapezia,*Trapezia*,31,31,2.354838709677419,2.1686921880367462,0.3895086154354471,0.7419354838709676,0.07858983387512677,23,3.1739130434782608,1.9224079103855776,0.40084975901273423
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,14,alpheus,*Alpheus*,31,31,0.3870967741935484,1.2021486140750575,0.21591226491201956,0.0967741935483871,0.05310031559697429,3,4,0,0
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,14,trapezia,*Trapezia*,31,31,1.2258064516129032,1.8386530834527546,0.33023184237599296,0.4193548387096774,0.08862686513992751,13,2.923076923076923,1.7541160386140584,0.4865042554105199
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,16,alpheus,*Alpheus*,31,31,0.5161290322580646,1.2615061828870933,0.22657319898608033,0.16129032258064516,0.06605856502852811,5,3.2,1.0954451150103321,0.48989794855663554
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,16,trapezia,*Trapezia*,31,31,1.4193548387096773,1.8032229211125859,0.3238683973680293,0.5161290322580645,0.08975591530841967,16,2.75,1.61245154965971,0.4031128874149275
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,18,alpheus,*Alpheus*,31,31,0.2580645161290323,0.6307530914435466,0.11328659949304017,0.16129032258064516,0.06605856502852811,5,1.6,0.5477225575051661,0.24494897427831777
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,18,trapezia,*Trapezia*,31,31,1.064516129032258,0.997847144973208,0.1792186378494681,0.5483870967741935,0.08938114993337112,17,1.9411764705882353,0.242535625036333,0.05882352941176471
*Pocillopora favosa* – N1,*Pocillopora favosa*,N1,Pocillopora,T1,19,alpheus,*Alpheus*,31,31,0.5161290322580645,1.0286226305740276,0.18474607823582395,0.22580645161290322,0.07509518648353262,7,2.2857142857142856,0.7559289460184545,0.2857142857142857
