coral_uid,host_species,host_species_md,taxon,taxon_label,n_observations,n_present,total_count,metric,value
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,24,22,67,Occurrence,0.9166666666666666
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,24,22,67,Mean abundance,2.7916666666666665
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,24,22,67,Intensity,3.0454545454545454
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,24,15,26,Occurrence,0.625
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,24,15,26,Mean abundance,1.0833333333333333
12Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,24,15,26,Intensity,1.7333333333333334
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,25,54,Occurrence,1
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,25,54,Mean abundance,2.16
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,25,54,Intensity,2.16
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,11,20,Occurrence,0.44
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,11,20,Mean abundance,0.8
12Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,11,20,Intensity,1.8181818181818181
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,16,29,Occurrence,0.64
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,16,29,Mean abundance,1.16
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,16,29,Intensity,1.8125
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,4,Occurrence,0.12
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,4,Mean abundance,0.16
12Pd3_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,4,Intensity,1.3333333333333333
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,22,40,Occurrence,0.88
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,22,40,Mean abundance,1.6
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,22,40,Intensity,1.8181818181818181
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,6,Occurrence,0.12
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,6,Mean abundance,0.24
12Pd4_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,3,6,Intensity,2
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,23,15,28,Occurrence,0.6521739130434783
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,23,15,28,Mean abundance,1.2173913043478262
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,23,15,28,Intensity,1.8666666666666667
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,23,10,16,Occurrence,0.43478260869565216
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,23,10,16,Mean abundance,0.6956521739130435
12Pd5_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,23,10,16,Intensity,1.6
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,17,48,Occurrence,0.8947368421052632
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,17,48,Mean abundance,2.526315789473684
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,17,48,Intensity,2.823529411764706
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,19,14,32,Occurrence,0.7368421052631579
12Pd6_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,19,14,32,Mean abundance,1.6842105263157894
